Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;1;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;"Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes
";Texto;80;Obrigatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela modalidade de Adiantamento a depositante para Pessoa Natural. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara
";Texto;14;Obrigatório;^(\d{14})$;Números de 0 a 9;1;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL de link para lista complementar com os nomes e CNPJs agrupados para o caso instituições ofertantes de produtos e serviços com as mesmas características. URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. 
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Condicional;\w*\W*;;0;1;Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/name;name;Nome da Tarifa cobrada sobre Serviço que incide sobre Adiantamento a depositante, para pessoa natural. Conforme Resolução CMN nº 3.919, de 2010. p.ex. 'CONCESSAO_ADIANTAMENTO_DEPOSITANTE';Texto;;Obrigatório;;CONCESSAO_ADIANTAMENTO_DEPOSITANTE;1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/code;code;Sigla de identificação do serviço relacionado à Modalidade de Adiantamento a depositante, para pessoa natural. Conforme Resolução CMN nº 3.919, de 2010. p.ex. 'ADIANT_DEPOSITANTE';Texto;;Obrigatório;;ADIANT_DEPOSITANTE;1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/chargingTriggerInfo;chargingTriggerInfo;"Fato gerador de cobrança que incide sobre a Modalidade de Adiantamento a depositante informada, para pessoa natural. Conforme Resolução CMN nº 3.919, de 2010.p.ex.'Levantamento de informações e avaliação de viabilidade e de riscos para a concessão de crédito em caráter emergencial para cobertura de saldo devedor em conta de depósitos à vista e de excesso sobre o limite previamente pactuado de cheque especial, cobrada no máximo uma vez nos últimos trinta dias'
";Texto;2000;Obrigatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/prices/interval;interval;Segundo Normativa nº 32, BCB, de 2020: Distribuição de frequência relativa dos valores de tarifas cobradas dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana em cada uma dessas faixas. Informando: 1ª faixa de valor, 2ª faixa de valor, 3ª faixa de valor e 4ª faixa de valor;Texto;;Obrigatório;;"1_FAIXA_VALOR
2_FAIXA_VALOR
3_FAIXA_VALOR
4_FAIXA_VALOR";4;4;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/prices/value;value;"Valor da mediana de cada faixa relativa ao serviço ofertado, informado no período, conforme Res nº 32 BCB, 2020. p.ex. '45.00'
(representa um valor monetário. p.ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente deve ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar)";Texto;12;Obrigatório;^(\d{1,9}\.\d{2}){1}$;;4;4;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/prices/currency;currency;Moeda referente ao valor da Tarifa, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;3;Obrigatório;;moeda (ISO-4217);4;4;NA;;
openBankingBrazil/<brand>/companies/personalUnarrangedAccountOverdraft/fee/priorityService/minimum/value;value;Valor mínimo apurado para a tarifa de serviços sobre a base de clientes no mês de referência;Texto;12;Obrigatório;^(\d{1,9}\.\d{2}){1}$;;1;1;NA;;
