Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as intuituições da Marca;Lista;;Obrigatório;;;1;N;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à organização, responsável pelo Canal Telefônico. Ex. 'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo canal telefônico - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica.
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Obrigatório;^(\d{14})$|^NA$;Números de 0 a 9;1;1;NA
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"Se aplicável informar: URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Condicional;\w*\W*;;0;1;NA
openBankingBrazil/<brand>/companies/phoneChannels/;;Lista de Canais de Atendimento Telefônico;Lista;;Obrigatóriio;;;1;N;
openBankingBrazil/<brand>/companies/phoneChannels/Identification/type;type;"Tipo de canal telefônico de atendimento:
CENTRAL_TELEFONICA
SAC
OUVIDORIA
OUTROS
";Texto;30;Obrigatório;;"CENTRAL_TELEFONICA
SAC
OUVIDORIA
OUTROS

";1;1;"O Tipo de Canal determina o Tipo de Acesso a ele relacionado:
 Telefone da central
 Telefone do SAC
 Telefone da ouvidoria
 Outros"
openBankingBrazil/<brand>/companies/phoneChannels/Identification/additionalInfo;additionalInfo;"Campo de texto livre para descrever informações complementateres sobre canais telefônicos. De preenchimento obrigatório quando o tipo de canal de atendimento telefônico selecionado for ""OUTROS""";Texto;300;Condicional;\w*\W*;;0;1;"De preenchimento obrigatório quando o tipo de canal de atendimento selecionado for ""OUTROS"""
openBankingBrazil/<brand>/companies/phoneChannels/identification/phones/;;"Lista de telefones do Canal de Atendimento
";Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/phoneChannels/identification/phones/countryCallingCode;countryCallingCode;Número de DDI (Discagem Direta Internacional) para  telefone de acesso ao Canal - se houver. p.ex. '55';Texto;4;Obrigatório;^\d{1,4}$|^NA$;;1;N;NA
