Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Conjunto de informações referentes aos pagamentos realizados de uma operação de crédito de adiantamento a depositantes;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/paidInstalments;paidInstalments;Quantidade total de parcelas pagas do contrato referente à Modalidade de Crédito informada;Número;3;Obrigatório;;;1;1;"";Não permitido;number;73
/data/contractOutstandingBalance;contractOutstandingBalance;Saldo devedor Remanescente, divulgado nos canais eletrônicos, do contrato referente à Modalidade de Crédito informada. Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
/data/releases;releases;Lista dos pagamentos realizados no período;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/paymentId;paymentId;Texto livre de responsabilidade de cada Instituição transmissora para identificar o pagamento informado;Texto;80;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Parcela regular
/data/releases/isOverParcelPayment;isOverParcelPayment;Identifica se é um pagamento pactuado ou avulso.;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;true
/data/releases/instalmentId;instalmentId;Texto livre de responsabilidade de cada Instituição transmissora para identificar a parcela informada;Texto;40;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;15
/data/releases/paidDate;paidDate;Traz a data de efetivação do pagamento referente ao contrato da modalidade de crédito consultada, conforme especificação RFC-3339.;Date Hora;20;Obrigatório;;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z
/data/releases/currency;currency;Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. ''BRL''. Todos os valores monetários informados estão representados com a moeda vigente do Brasil;Texto;3;Obrigatório;^(\w{3}){1}$;;1;1;"";Não permitido;string;BRL
/data/releases/paidAmount;paidAmount;Traz o valor do pagamento referente ao  contrato da modalidade de crédito consultada. Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
/data/releases/overParcel;overParcel;Objeto das tarifas e encargos que foram pagos fora da parcela.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/releases/overParcel/fee;fee;Lista das tarifas que foram pagas fora da parcela, só para pagamento avulso.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/overParcel/fee/feeName;feeName;Denominação da Tarifa avulsa paga fora da parcela;Texto;250;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;reavaliação periódica do bem
/data/releases/overParcel/fee/feeCode;feeCode;Sigla identificadora da tarifa avulsa fora da parcela;Texto;140;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;aval_bem
/data/releases/overParcel/fee/feeAmount;feeAmount;Valor do pagamento do encargo pago fora da parcela. Expresso em valor monetário com até 4 casas decimais.;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
/data/releases/overParcel/charge;charge;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/releases/overParcel/charge/chargeType;chargeType;Tipo de encargo pago fora da parcela;Texto;35;Obrigatório;;"JUROS_REMUNERATORIOS_POR_ATRASO 
MULTA_ATRASO_PAGAMENTO 
JUROS_MORA_ATRASO 
IOF_CONTRATACAO 
IOF_POR_ATRASO 
OUTROS";1;1;"";Não permitido;string;JUROS_REMUNERATORIOS_POR_ATRASO
/data/releases/overParcel/charge/chargeAdditionalInfo;chargeAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTROS' em Tipo de encargo pago fora da parcela;Texto;140;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Informações Adicionais
/data/releases/overParcel/charge/chargeAmount;chargeAmount;Valor do pagamento do encargo pago fora da parcela. Expresso em valor monetário com até 4 casas decimais.;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$;;1;1;"";Não permitido;number;100000.04
