Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as intuituições da Marca;Lista;;;;;0;N;;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pelo terminal de Autoatendimento compartilhado. p.ex.'Empresa da Organização A';Texto;80;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo Terminal de Autoatendimento Compartilhado - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica.
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Opcional;^(\d{14})$;Números de 0 a 9;0;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL de link para lista complementar com os nomes e CNPJs agrupados para o caso instituições ofertantes de produtos e serviços com as mesmas características. URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/;;"Lista Terminais de Autoatendimento
";;;;;;0;1;;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/identification/ownerName;ownerName;Nome do proprietário do terminal de Autoatendimento Compartilhado;Texto;100;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/address;address;"Deverá trazer o endereço completo referente à localização do Terminal de Autoatendimento Compartilhado informado:
Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver), como, p.ex.:
'R Diamantina, 59, bloco 35'
'Praça da Boa Vontade s/n'";Texto;150;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento, conforme o exemplo a seguir: 'Loja B', 'Fundos', 'Casa 2', 'Lote C';Texto;30;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex.: 'Paraíso';Texto;50;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/townName;townName;"Localidade: O nome da localidade corresponde à designação
da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo'
";Texto;50;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/ibgeCode;ibgeCode;Código IBGE de Município. A Tabela de Códigos de Municípios do IBGE apresenta a lista dos municípios brasileiros associados a um código composto de 7 dígitos, sendo os dois primeiros referentes ao código da Unidade da Federação. p.ex.'3550308';Texto;7;Opcional;\d{7}$;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Texto;;Opcional;;"AC'; 'AL'; 'AM'; 'AP'; 'BA'; 'CE'; 'DF'; 'ES'; 'GO'; 'MA'; 'MG'; 'MS'; 'MT'; 'PA'; 'PB'; 'PE'; 'PI'; 'PR'; 'RJ'; 'RN'; 'RO'; 'RR'; 'RS'; 'SC'; 'SE'; 'SP'; 'TO'";1;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. p.ex. '01311000';"Texto
";8;Opcional;(\d{8});;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/country;country;Nome do país. p.ex. Brasil;Texto;80;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/countryCode;countryCode;Código do pais de acordo com o código “alpha3” do ISO-3166.p.ex.'BRA';Texto;;Opcional;;BRA;1;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/geographicCoordinates/latitude;latitude;Informação da Latitude referente a geolocalização informada. Entre -90 e 90.p.ex. '-90.8365180' ;Texto;;Opcional;^-?\d{1,2}\.\d{1,9}$;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/postalAddress/geographicCoordinates/longitude;longitude;"Informação da Longitude referente a geolocalização informada. Entre -180 e 180.p.ex
'-180.836519.' ";Texto;;Opcional;^-?\d{1,2}\.\d{1,8}$;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/availability/standards/;;Relação da disponbilidade de atendimento padrão por dias da semana;Lista;;;;;1;7;;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/availability/standards/weekday;weekday;Em formato texto, seguindo o domínio apresentado, devem ser colocados os dias da semana;Texto;;Opcional;;"DOMINGO
SEGUNDA_FEIRA
TERCA_FEIRA
QUARTA_FEIRA
QUINTA_FEIRA
SEXTA_FEIRA
SABADO";1;1;cada dia de semana informado deverá trazer seu horário de atendimento preenchido com horário de abertura e fechamento;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/availability/standards/openingTime;openingTime;"Horário padrão de início de atendimento do Terminal de Autoatendimento Compartilhado.
(Uma string que representa a hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format). p.ex. '10:00:57Z')";Texto;13;Opcional;(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)|Z;;0;1;Preenchimento com horário universal (em UTC).  Aceitar NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/availability/standards/closingTime;closingTime;"Horário padrão de encerramento de atendimentodo Terminal de Autoatendimento Compartilhado.
(Uma string que representa a hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format). p.ex. '16:00:57Z')";Texto;13;Opcional;(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)|Z;;0;1;Preenchimento com horário universal (em UTC);;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/availability/exception;exception;Em campo texto devem ser registradas todas as Exceções para o não atendimento. p.ex. 'Exceto feriados municipais, nacionais e estaduais';Texto;2000;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/availability/isPublicAccessAllowed;isPublicAccessAllowed;Indica se o Terminal de Autoatendimento Compartilhado disponibiliza acesso restrito ou  irrestrito, atendendo ao público em geral. p.ex. 'false' (restrito) ;Booleano;;Opcional;;"true
false
";0;1;NA;;
openBankingBrazil/<brand>/companies/sharedAutomatedTellerMachines/services/;;Traz a relação de serviços disponbilizados pelo Terminal de Autoatendimento Compartilhado;Lista;;;;;1;20;;;
