Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
 Json"
GET /accounts/{creditCardAccountId}/limits;;Método para obter os limites da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
data/;;Conjunto de informações referentes aos limites da conta de  pagamento pós-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/creditCardAccountId;creditCardAccountId;Um identificador único e imutável usado para identificar o recurso da conta de pagamento pós paga. Este identificador não tem significado para o proprietário da conta;Texto;100;Obrigatório;;;1;1;Não há restrição;;String
data/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;String
data/currency;currency;"Moeda referente ao saldo informado, segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Preenchimento obrigatório se informado valor da transação;;String
data/limits/;;Lista dos Limites (Total e por Modalidade) da conta de pagamento pós-paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/limits/creditLineLimitType;creditLineLimitType;"Indicador do tipo de limite: 
- Limite de Crédito Total
- Limite de Crédito por Modalidade de operação
 Vide enum";Texto;34;Obrigatório;;"LIMITE_CREDITO_TOTAL
LIMITE_CREDITO_MODALIDADE_OPERACAO";1;1;Não há restrição;;Enum
data/limits/consolidationType;consolidationType;"Indicador que permite informar se o valor do limite é:
consolidado ou individual (vide Enum)";Texto;11;Obrigatório;;"CONSOLIDADO
INDIVIDUAL";1;1;;;Enum
data/limits/lineName;lineName;Modalidade de operação - Lista de   Modalidades de Operação relacionadas às Contas de Pagamento Pós-Pagas  (Vide Enum) ;Texto;28;Condicional;;"CREDITO_A_VISTA
SAQUE_CREDITO_BRASIL
SAQUE_CREDITO_EXTERIOR
EMPRESTIMO_CARTAO_CONSIGNADO
OUTRAS
";0;1;"Se aplica somente
 se for Limite Modalidade de operação";;Enum
data/limits/lineNameAdditionalInfo;lineNameAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName;Texto;;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName;;String
data/limits/limitType;limitType;Indicador que permite informar se a operação de crédito é: com limite ou com limite flexível (vide Enum);Enum;;Obrigatório;;"COM_LIMITE
LIMITE_FLEXIVEL
SEM_LIMITE";1;1;"Se aplica somente
 se for Limite Modalidade de operação.
Opção 'SEM_LIMITE' se aplica somente para a Modalidade 'CREDITO_A_VISTA'";;Enum
data/limits/limitAmount;limitAmount;Valor total do limite informado Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;;;1;1;Não há restrição;aceita null;Number
data/limits/avaiableAmount;avaiableAmount;Valor disponível do limite informado.  Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;;;1;1;Não há restrição;aceita null;Number
data/limits/usedAmount;usedAmount;Valor utilizado do limite informado Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;;;1;1;Não há restrição;aceita null;Number
