Xpath,Nome,Definição,Tipo de dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json
GET /business/financial-relations/,,Método para obter os registros de relacionamento da pessoa jurídica mantidos na instituição transmissora,,,,,,,,,,
data/,,"Objeto que reúne as informações relativas ao relacionamento do cliente junto à Instituição. Considera-se relacionamento as informações que permitam conhecer desde quando a pessoa consultada é cliente da instituição, bem como um indicador dos produtos e serviços que ela consome atualmente e seus representantes ",Objeto,,Obrigatório,,,1,1,Não há restrição,,Objeto
data/updateDateTime,updateDateTime,"Data e hora da atualização do bloco de Relacionamento, conforme especificação RFC-3339. p.ex. ""2020-07-21T08:30:00Z""",Data Hora,20,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$,,1,1,Não há restrição,,String
data/startDate,startDate,Data de início de relacionamento. Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS,Data ,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,,1,1,Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS,,String
data/productsServicesType,productsServicesType,"Relação dos produtos e serviços com contrato
vigente.(Lista)",Texto,24,Obrigatório,,"CONTA_DEPOSITO_A_VISTA
CONTA_POUPANCA CONTA_PAGAMENTO_PRE_PAGA
CARTAO_CREDITO
OPERACAO_CREDITO
SEGURO
PREVIDENCIA
INVESTIMENTO
OPERACOES_CAMBIO
CONTA_SALARIO
CREDENCIAMENTO",1,1,Não há restrição,,Enum
data/procurators/,,Lista dos representantes legais ou procuradores,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista
data/procurators/type,type,"Tipo de representante. 
Representante legal - Nome Civil completo da Pessoa Natural que represente uma entidade ou uma empresa e é nomeado em seu ato constitutivo, ou seja, no contrato social ou estatuto social. 
Procurador - é qualquer pessoa que represente a Pessoa Natural em algum negócio, mediante autorização escrita do mesmo. Vide Enum ",Texto,19,Obrigatório,,"REPRESENTANTE_LEGAL
PROCURADOR",1,1,Não há restrição,,Enum
data/procurators/cnpjCpfNumber,cnpjCpfNumber,Identificação do Representante Legal ou Procurador. Número do cadastro nas Receita Federal (Preencher com CPF ou CNPJ sem formatação),Texto,14,Obrigatório,^\d{11}$|^\d{14}$|^NA$,,1,1,Não há restrição,,String
data/procurators/civilName,civilName,Nome civil completo ou Razão Social,Texto,70,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/procurators/socialName,socialName,"Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Local)",Texto,70,Condicional,\w*\W*,,0,1,Preenchido quando se tratar de pessoa natural,,String
