Xpath,Nome,Definição,Tipo de dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json
POST /consents/{consentId},,Criar novo pedido de consentimento.,,,,,,,,,,
data/,,,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista
data/brandID,brandID,"Identifica a Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.",Texto,100,Opcional,\w*\W*,,1,1,Não há restrição,,String
data/brandName,brandName,"Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes",Texto,80,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/consentId,consentId,Identificador único do consentimento.,Texto,100,Obrigatório,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$",,1,1,Não há restrição,,String
data/creationDateTime,creationDate,"Data e hora em que o recurso foi criado. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).",Data Hora,20,Opcional,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$",,1,1,Não há restrição,,String
data/status,status,Estado atual do consentimento cadastrado.,ENUM,24,Obrigatório,,"AUTHORISED, AWAITING_AUTHORISATION, REJECTED, REVOKED",,,,,
data/statusUpdateDateTime,statusUpdateDateTime,"Data e hora em que o recurso foi atualizado. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).",Data Hora,20,Obrigatório,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$",,1,1,Não há restrição,,String
data/permissions,permissions,"Especifica os tipos de permissões de acesso às APIs no escopo do Open Banking Brasil - Fase 2, de acordo com os blocos de consentimento fornecidos pelo usuário e necessários ao acesso a cada endpoint das APIs.",ENUM,20,Obrigatório,"^\d{8,20}$|^NA$","ACCOUNTS_READ, ACCOUNTS_BALANCES_READ, ACCOUNTS_TRANSACTIONS_READ, ACCOUNTS_OVERDFRAFT_LIMITS_READ, CREDIT_CARDS_ACCOUNTS_READ, CREDIT_CARDS_ACCOUNTS_BILLS_READ, CREDIT_CARDS_ACCOUNTS_BILLS_TRANSACTIONS_READ, CREDIT_CARDS_ACCOUNTS_LIMITS_READ, CREDIT_CARDS_ACCOUNTS_TRANSACTIONS_READ, CUSTOMERS_PERSONAL_IDENTIFICATIONS_READ, CUSTOMERS_PERSONAL_ADITTIONALINFO_READ, CUSTOMERS_BUSINESS_IDENTIFICATIONS_READ, CUSTOMERS_BUSINESS_ADITTIONALINFO_READ, INVOICE_FINANCINGS_READ, INVOICE_FINANCINGS_INSTALMENTS_READ, INVOICE_FINANCINGS_PAYMENTS_READ, INVOICE_FINANCINGS_WARRANTIES_READ, INVOICE_FINANCINGS_SCHEDULED_INSTALMENTS_READ, FINANCINGS_READ, FINANCINGS_INSTALMENTS_READ, FINANCINGS_PAYMENTS_READ, FINANCINGS_WARRANTIES_READ, LOANS_READ, LOANS_INSTALMENTS_READ, LOANS_PAYMENTS_READ, LOANS_WARRANTIES_READ, LOANS_SCHEDULED_INSTALMENTS_READ, UNARRANGED_ACCOUNTS_OVERDRAFT_READ, UNARRANGED_ACCOUNTS_OVERDRAFT_INSTALMENTS_READ, UNARRANGED_ACCOUNTS_OVERDRAFT_PAYMENTS_READ, UNARRANGED_ACCOUNTS_OVERDRAFT_WARRANTIES_READ, UNARRANGED_ACCOUNTS_OVERDRAFT_SCHEDULED_INSTALMENTS_READ",1,29,Não há restrição,,String
data/expirationDateTime,expirationDateTime,"Data e hora de expiração da permissão. Se não for preenchido, a permissão terá a data aberta. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).",Data Hora,20,Opcional,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$",,1,1,Não há restrição,,String
data/transactionFromDateTime,transactionFromDateTime,"Data e hora da transação inicial. Se não for preenchido, a transação terá a data aberta e a data será retornada com a primeira transação disponível. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).",Data Hora,20,Opcional,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$",,1,1,Não há restrição,,String
data/transactionToDateTime        ,transactionToDateTime,"Data e hora final da transação. Se não for preenchido, a transação terá a data aberta e a data será retornada com a ultima transação disponível. Uma string com data e hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format).",Data Hora,20,Opcional,"^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$",,1,1,Não há restrição,,String
