Xpath,Nome,Definição,Tipo do Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Natureza,Tipo Dado Json
GET /accounts/{creditCardAccountId}/bills,,Método para obter a lista de faturas da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora,,,,,,,,,,
data/,,Conjunto das informações referentes a lista de faturas associadas à conta de pagamento pós-paga,Lista,,,,,,,,,
data/creditCardAccountId,creditCardAccountId,Um identificador único e imutável usado para identificar o recurso da conta de pagamento pós paga. Este identificador não tem significado para o proprietário da conta,Texto,100,Obrigatório,,,1,1,Não há restrição,,String
data/currency,currency,"Moeda referente ao valor de todas transações relacionadas com fatura da conta de pagamento pós-paga, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores informados estão representados com a moeda vigente do Brasil",Texto,3,Obrigatório,,,1,1,Não há restrição,,String
data/dueDate,dueDate,"Data de vencimento da Fatura, que 
aparece para pagamento pelo cliente",Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,,1,1,Não há restrição,,String
data/payments/,,"Lista que traz os valores relativos aos 
pagamentos da Fatura da conta de 
pagamento pós-paga",Lista,,Obrigatório,,,1,2,Valor Total da Fatura é seleção obrigatória sempre e a segunda opção corresponde ao valor efetivamente pago da fatura,,Lista
data/payments/transactionName,transactionName,Campo de livre preenchimento. Literal usada na instituição financeira para identificar a transação,Texto,100,Obrigatório,,,1,1,Não há restrição,,String
data/payments/paymentDate,paymentDate,"Data efetiva de quando o Pagamento 
da fatura foi realizado ",Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,,1,1,Não há restrição,,String
data/payments/paymentMode,paymentMode,"Traz as formas de efetivação do 
pagamento realizado: (Vide Enum)
- Débito em conta corrente
- Boleto bancário
- Averbação em folha
- PIX",Texto,21,Obrigatório,,"DEBITO_CONTA_CORRENTE 
BOLETO_BANCARIO 
AVERBACAO_FOLHA 
PIX",1,1,Não há restrição,,Enum
data/payments/valueType,valueType,"Traz os tipos dos valores relativos aos 
pagamentos da fatura da conta de pagamento pós-paga: (Vide Enum)
- Valor de pagamento mínimo da fatura
- Valor de pagamento total da fatura 
- Valor de pagamento da fatura com parcelamento
- Outro Valor pago na fatura",Texto,32,Obrigatório,,"VALOR_PAGAMENTO_MINIMO_FATURA
VALOR_PAGAMENTO_TOTAL_FATURA
VALOR_PAGAMENTO_FATURA_PARCELADO
OUTRO_VALOR_PAGO_FATURA",1,1,Não há restrição,,Enum
data/payments/amount,amount,"Valor da transação. Expresso em valor 
monetário com 4 casas decimais",Número,19,Obrigatório,,,1,1,Não há restrição,,Number
data/payments/financeCharges/,,Lista dos encargos cobrados na fatura,Lista,,Obrigatório,,,1,N,,,Lista
data/payments/financeCharges/type,type,"Traz a denominação dos Encargos que 
incidem na fatura da conta de pagamento pós-paga. (Vide Enum)
- Juros remuneratórios por atraso no pagamento da fatura
- Multa por atraso no pagamento da fatura
- Juros de mora por atraso no pagamento da fatura
- IOF
- Sem Encargo
- Outros",Texto,44,Obrigatório,,"JUROS_REMUNERATORIOS_ATRASO_PAGAMENTO_FATURA
MULTA_ATRASO_PAGAMENTO_FATURA
JUROS_MORA_ATRASO_PAGAMENTO_FATURA
IOF
SEM_ENCARGO
OUTROS",1,1,Não há restrição,,String
data/payments/financeCharges/additionalInfo,additionalInfo,"Campo livre, de preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'",Texto,140,Condicional,\w*\W*,,0,1,"Preenchimento 
obrigatório se selecionado tipo de encargo 'OUTROS'",,String
data/payments/financeCharges/amount,amount,"Valor cobrado pelo encargo. Expresso em
valor monetário com 4 casas decimais",Número,19,Obrigatório,,,1,1,Não há restrição,aceita nulo,Number
data/billIdentification,billIdentificationInformação que identifica a fatura,Informação que identifica a fatura,Texto,100,Obrigatório,,,,,,,
