Xpath,Nome,Definição,Tipo de dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,"Tipo Dado
Json"
GET /accounts/{creditCardAccountId}/limits,,Método para obter os limites da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora,,,,,,,,,,
data/,,Conjunto de informações referentes aos limites da conta de pagamento pós-paga,Lista,,Obrigatório,,,1,1,Não há restrição,,Lista
data/currency,currency,"Moeda referente ao saldo informado, segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil",Texto,3,Obrigatório,,moeda (ISO-4217),1,1,Preenchimento obrigatório se informado valor da transação,,String
data/creditLineLimitType,creditLineLimitType,"Indicador do tipo de limite: 
- Limite de Crédito Total
- Limite de Crédito por Modalidade de operação
Vide enum",Texto,34,Obrigatório,,"LIMITE_CREDITO_TOTAL
LIMITE_CREDITO_MODALIDADE_OPERACAO",1,1,Não há restrição,,Enum
data/consolidationType,consolidationType,"Indicador que permite informar se o valor do limite é:
consolidado ou individual (vide Enum)",Texto,11,Obrigatório,,"CONSOLIDADO
INDIVIDUAL",1,1,,,Enum
data/identificationNumber,identificationNumber,"Número de identificação do cartão: corresponde aos 4 últimos dígitos para PF, preencher com um identificador para PJ, com as caracteristicas definidas para os ID´s no Open Banking.",Texto,100,Obrigatório,,,1,1,Não há restrição,,String
data/lineName,lineName,Modalidade de operação - Lista de Modalidades de Operação relacionadas às Contas de Pagamento Pós-Pagas (Vide Enum) ,Texto,28,Condicional,,"CREDITO_A_VISTA
SAQUE_CREDITO_BRASIL
SAQUE_CREDITO_EXTERIOR
EMPRESTIMO_CARTAO_CONSIGNADO
OUTRAS",0,1,"Se aplica somente
se for Limite Modalidade de operação",,Enum
data/lineNameAdditionalInfo,lineNameAdditionalInfo,Campo de preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName,Texto,,Condicional,\w*\W*,,0,1,Preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName,,String
data/islimitflexible,limitType,Indicador que permite informar se a operação de crédito é: com limite ou com limite flexível (vide Enum),Booleano,,Obrigatório,,"COM_LIMITE
LIMITE_FLEXIVEL
SEM_LIMITE",1,1,"Se aplica somente
se for Limite Modalidade de operação.
Opção 'SEM_LIMITE' se aplica somente para a Modalidade 'CREDITO_A_VISTA'",,Boolean
data/limitAmount,limitAmount,Valor total do limite informado Expresso em valor monetário com 4 casas decimais,Número,19,Obrigatório,,,1,1,Não há restrição,aceita nulo,Double
data/usedAmount,usedAmount,Valor utilizado do limite informado Expresso em valor monetário com 4 casas decimais,Número,19,Obrigatório,,,1,1,Não há restrição,aceita nulo,Double
