Xpath,Nome,Definição,Tipo de dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,"Tipo Dado 
Json"
GET /personal/financial-relations/,,Método para obter os registros de relacionamento da pessoa natural mantidos na instituição transmissora,,,,,,,,,,
data/,,"Objeto que reúne as informações relativas ao relacionamento do cliente junto à Instituição. Considera-se relacionamento as informações que permitam conhecer desde quando a pessoa consultada é cliente da instituição, bem como um indicador dos produtos e serviços que ela consome atualmente e seus representantes ",Objeto,,Obrigatório,,,1,1,Não há restrição,,Objeto
data/updateDateTime,updateDateTime,"Data e hora da atualização do bloco de Relacionamento, conforme especificação RFC-3339. p.ex. ""2020-07-21T08:30:00Z""",Data Hora,20,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$,,1,1,Não há restrição,,String
data/personalId,personalId,Um identificador único e imutável usado para identificar o recurso cliente pessoa natural. Este identificador não tem significado para o cliente que deu o consentimento,Texto,100,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/brandName,brandName,"Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes",Texto,80,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/brandID,brandID,"Identifica a Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes",Texto,100,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/startDate,startDate,Data de início de relacionamento com a Instituição Financeira. Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,,1,1,Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS,,String
data/productsServicesType,productsServicesType,Relação dos produtos e serviços com contrato vigente (Lista),Texto,24,Obrigatório,,"CONTA_DEPOSITO_A_VISTA
CONTA_POUPANCA CONTA_PAGAMENTO_PRE_PAGA
CARTAO_CREDITO
OPERACAO_CREDITO
SEGURO
PREVIDENCIA
INVESTIMENTO
OPERACOES_CAMBIO
CONTA_SALARIO
CREDENCIAMENTO",1,1,Não há restrição,,Enum
data/procurators/,,Lista dos representantes. De preenchimento obrigatório se houver representante.,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista
data/procurators/type,type,"Tipo de representante. 
Representante legal - Nome Civil completo da Pessoa Natural que represente uma entidade ou uma empresa e é nomeado em seu ato constitutivo, ou seja, no contrato social ou estatuto social. 
Procurador - é qualquer pessoa que represente a Pessoa Natural em algum negócio, mediante autorização escrita do mesmo.Vide Enum ",Texto,19,Obrigatório,,"REPRESENTANTE_LEGAL
PROCURADOR
NÃO_POSSUI",1,1,Não há restrição,,Enum
data/procurators/cpfNumber,cpfNumber,"Número completo do CPF. O CPF é o Cadastro de Pessoa natural. Ele é um documento feito pela Receita Federal e serve para identificar os contribuintes. O CPF é uma numeração com 11 dígitos, que só mudam por decisão judicial. O documento é emitido pela receita federal",Texto,11,Obrigatório,\d{11}$,,1,1,Não há restrição,,String
data/procurators/civilName,civilName,"Nome civil completo da pessoa natural. (Direito fundamental da
pessoa, o nome civil é aquele atribuído à pessoa natural desde o registro de seu nascimento, com o qual será identificada por toda a sua vida, bem como após a sua morte) ",Texto,70,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/procurators/socialName,socialName,"Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Local)",Texto,70,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
