Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pela Dependência. p. ex. 'Empresa da Organização A';Texto;80;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pela dependência - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;N/A
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;N/A
openBankingBrazil/<brand>/companies/branches/identification/type;type;"Tipo da dependência, segundo a regulamentação do Bacen,  na Resolução Nº 4072, de 26 de abril de 2012:
Agência é a dependência destinada ao atendimento aos clientes e ao público em geral no exercício de atividades da instituição, não podendo ser móvel ou transitória;
  Dependência de instituições financeiras e demais instituições, autorizadas a funcionar pelo Banco Central do Brasil, destinada à prática das atividades para as quais a instituição esteja regularmente habilitada.
Posto de Atendimento é a dependência subordinada a agência  ou à sede da instituição financeira, destinada ao atendimento ao público no exercício de uma ou mais de suas atividades, podendo ser fixo ou móvel. Segundo Art.15. Os Postos de Atendimento Bancário (PAB), Postos Avançados de Atendimento (PAA), Postos de Atendimento Transitórios (PAT), Postos de Compra de Ouro (PCO), Postos de Atendimento Cooperativo (PAC), Postos de Atendimento de Microcrédito (PAM), Postos Bancários de Arrecadação e Pagamento (PAP) e os Postos de Câmbio atualmente em funcionamento serão considerados PA.
Posto de Atendimento Eletrônico é a dependência constituída por um ou mais terminais de autoatendimento, subordinada a agência ou à sede da instituição, destinada à prestação de serviços por meio eletrônico, podendo ser fixo ou móvel, permanente ou transitório";Texto;;Mandatório;;"AGENCIA
POSTO_ATENDIMENTO
POSTO_ATENDIMENTO_ELETRONICO ";1;3;N/A
openBankingBrazil/<brand>/companies/branches/identification/code;code;Código identificador da dependência. Ex. '3006','3035', '1382', '2516', '2856'. ;Texto;4;Mandatório;^\d{4}$;Números de 0 a 9;1;1;Para qualquer tipo de dependência informada deverá ser sempre preenchido com a identificação da Agência
openBankingBrazil/<brand>/companies/branches/identification/checkDigit;checkDigit;Dígito verificador do código da dependência;Texto;1;Mandatório;^\d{1}$;;1;1;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/identification/name;name;"Nome da dependência, exemplos: 
         3006, 'SP Ponte Morumbi'
         3035, 'Uberaba São Benedito'
         1382, 'ALPHAVILLE-BARUERI'
         2516, 'PRIME-ALPHAVILLE'
         2856, 'CID.DE DEUS-U.OSASCO'
   ";Texto;100;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/address;address;"Deverá trazer toda a informação referente ao endereço da dependência informada:
Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver), como, p.ex.:
'R Diamatina, 59, bloco 35, fundos'
'Praça da Boa Vontade s/n'";Texto;150;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex: 'Paraíso';Texto;50;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/townName;townName;"Localidade: O nome da localidade corresponde à designação
da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo'
";Texto;50;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Texto;;Mandatório;;"AC'; 'AL'; 'AM'; 'AP'; 'BA'; 'CE'; 'DF'; 'ES'; 'GO'; 'MA'; 'MG'; 'MS'; 'MT'; 'PA'; 'PB'; 'PE'; 'PI'; 'PR'; 'RJ'; 'RN'; 'RO'; 'RR'; 'RS'; 'SC'; 'SE'; 'SP'; 'TO'";1;1;N/A
openBankingBrazil/<brand>/companies/branches/postalAddress/postCode;postCode;Código de Endereçamento Postal: Composto por um conjunto numérico de oito dígitos, o objetivo principal do CEP é orientar e acelerar o encaminhamento, o tratamento e a entrega de objetos postados nos Correios, por meio da sua atribuição a localidades, logradouros, unidades dos Correios, serviços, órgãos públicos, empresas e edifícios. p.ex. '01311-000';"Texto
";8;Mandatório;(\d{8});;1;1;N/A
openBankingBrazil/<brand>/companies/branches/availability/standards/weekday;weekday;Em formato texto, seguindo o domínio apresentado, devem ser colocados os dias da semana;Texto;;Mandatório;;"DOMINGO
SEGUNDA_FEIRA
TERCA_FEIRA
QUARTA_FEIRA
QUINTA_FEIRA
SEXTA_FEIRA
SABADO";1;7;cada dia de semana informado deverá trazer seu horário de atendimento preenchido com horário de abertura e fechamento
openBankingBrazil/<brand>/companies/branches/availability/standards/openingTime;openingTime;"Horário padrão de início de atendimento da Dependência.
(Uma string que representa a hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format). p.ex. '10:00:57Z')";Texto;13;Mandatório;(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)|Z;;1;1;Preenchimento com horário universal (em UTC)
openBankingBrazil/<brand>/companies/branches/availability/standards/closingTime;closingTime;"Horário padrão de encerramento de atendimento da Dependência.
(Uma string que representa a hora conforme especificação RFC-3339, sempre com a utilização de timezone UTC(UTC time format). p.ex. '16:00:57Z')";Texto;13;Mandatório;(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)|Z;;1;1;Preenchimento com horário universal (em UTC)
openBankingBrazil/<brand>/companies/branches/availability/exception;exception;Em campo texto devem ser registradas todas as Exceções para o não atendimento. p.ex. 'Exceto feriados municipais, nacionais e estaduais';Texto;2000;Mandatório;\w*\W*;;1;1;N/A
openBankingBrazil/<brand>/companies/branches/availability/allowPublicAccess;allowPublicAccess;Indica se a dependência tem acesso restrito a clientes, por exemplo, uma agência dentro de uma empresa que só atenda aos clientes daquela empresa, ou acesso irrestrito, atendendo ao público em geral. p.ex. 'FALSO' (restrito) ;Booleano;;Mandatório;;"FALSO
VERDADEIRO";1;1;N/A
openBankingBrazil/<brand>/companies/branches/phones/type;type;Identificação do Tipo de telefone da dependência. p.ex.FIXO, MOVEL;Texto;;Mandatório;;"FIXO
MOVEL";0;N;"Com indicador de Não se Aplica, caso não haja valor para preenchimento.
Se houver um número de telefone obrigatoriamente devemos ter seu tipo identificado"
openBankingBrazil/<brand>/companies/branches/phones/countryCode;countryCode;Número de DDI (Discagem Direta Internacional) para  telefone de acesso ao Canal - se houver. p.ex. '55';Texto;2;Mandatório;^\d{2}$;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/phones/areaCode;areaCode;Número de DDD (Discagem Direta à Distância) do telefone da dependência - se houver. p.ex. '19';Texto;2;Mandatório;^\d{2}$;;1;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/phones/number;number;Número de telefone da dependência - se houver;Texto;11;Mandatório;^([0-9]{8,11})$;;0;N;Com indicador de Não se Aplica, caso não haja valor para preenchimento
openBankingBrazil/<brand>/companies/branches/service/codes;codes;"Serviços prestados pela dependência consultada:
Abertura de contas
Recebimentos, pagamentos e transferências eletrônicas
Recebimentos e pagamentos de qualquer natureza
Operações de crédito
Cartão de crédito
Operações de câmbio
Investimentos
Seguros
Outros

";Texto;;Mandatório;;"ABERTURA_CONTAS
RECEBIMENTOS_PAGAMENTOS_TRANSFERENCIAS_ELETRONICAS
RECEBIMENTOS_PAGAMENTOS_QUALQUER_NATUREZA
OPERACOES_CREDITO
CARTAO_CREDITO
OPERACOES_CAMBIO
INVESTIMENTOS
SEGUROS
OUTROS
";1;N;N/A
openBankingBrazil/<brand>/companies/branches/service/additionalInfo;additionalInfo;Campo de texto livre para descrever mais sobre os serviços;Texto;2000;Opcional;\w*\W*;;0;1;N/A
