Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pela comercialização dos tipos de contas de pessoas jurídicas consultadas. Ex. 'Empresa da Organização A' ;Texto;80;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"O responsável pela comercialização das modalidades de Contas para pessoas jurídicas consultadas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara.";Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/type;type;"Tipos de contas ofertadas para pessoas jurídicas, conforme Resolução 3.919 do Bacen. p.ex. 'conta de depósito à vista'.
Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados";Texto;;Mandatório;;"CONTA_DEPOSITO_A_VISTA
CONTA_POUPANCA
CONTA_PAGAMENTO_PRE_PAGA";1;3;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/name;name;Nome dos Serviços para pessoa jurídica. (Campo Livre);Texto;80;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/code;code;Lista das Siglas de identificação do Serviço.(Campo Livre);Texto;;Mandatório;;;1;N;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/chargingTriggerInfo;chargingTriggerInfo;"Fatos geradores de cobrança que incidem sobre os serviços, para pessoa jurídica. (Campo Livre)
";Texto;2000;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/prices/interval;interval;Faixas de valor referentes a tarifa do Serviço informada: 1º quartil de clientes, 2º quartil de clientes, 3º quartil de clientes e 4º quartil de clientes;Texto;;Mandatório;;"1_QUARTIL_CLIENTES
2_QUARTIL_CLIENTES
3_QUARTIL_CLIENTES
4_QUARTIL_CLIENTES";4;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/prices/value;value;Valor da mediana da tarifa cobrada, relativa ao Serviço, para o tipo de faixa informada. p.ex. 45.00 (representa um valor monetário. Ex: 1547368.92. Este valor, considerando que a moeda seja BRL, significa R$ 1.547.368,92. O único separador presente dever ser o '.' (ponto) para indicar a casa decimal. Não deve haver separador de milhar);Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;4;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/prices/currency;currency;Moeda referente ao valor da mediana da tarifa do Serviço no quartil informado, segundo modelo ISO-4217. p. ex. 'BRL' ;Texto;;Mandatório;BRL;moeda (ISO-4217);4;4;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/minimum/value;value;Valor mínimo cobrado para a tarifa de Serviço no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/minimum/currency;currency;Moeda referente ao valor mínimo da tarifa do Serviço, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Mandatório;BRL;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/maximum/value;value;Valor máximo cobrado para a tarifa de Serviço no mês de referência;Texto;12;Mandatório;^((\d{1,9}\.\d{2}){1}|NA)$;;1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/fees/service/maximum/currency;currency;Moeda referente ao valor máximo da tarifa do Serviço, segundo modelo ISO-4217. p.ex. 'BRL' ;Texto;;Mandatório;BRL;moeda (ISO-4217);1;1;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/name;name;Nome do Pacote de Serviços dado pela instituição;Texto;50;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/businessAccounts/serviceBundles/services/code;code;Código que identifica o Serviço que compõe o Pacote de Serviços, podendo ser da lista de Serviços Prioritários ou Outros Serviços. p.ex. segundo Resolução 3.919 do Bacen: 'SAQUEterminal'.;Texto;30;Mandatório;\w*\W*;Lista de 'code' de Serviços Prioritários (priorityServices) ;1;N;NA;;
