Xpath,Nome,Definição,Natureza,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json
GET /personal/qualifications,,Método para obter os registros de qualificação da pessoa natural mantidos na instituição transmissora,,,,,,,,,,
data/,,"Conjunto de informações relativas ao processo de qualificação. Considera-se qualificação as informações que permitam as instituições apreciar, avaliar, caracterizar e classificar o cliente com a finalidade de conhecer o seu perfil de risco e sua capacidade econômico-financeira ",Objeto,,Obrigatório,,,1,1,Não há restrição,,Objeto
data/updateDateTime,updateDateTime,"Data e hora da atualização do bloco de Identificação, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""",Data Hora,20,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$,,1,1,Não há restrição,,String
data/personalId,personalId,Um identificador único e imutável usado para identificar o recurso cliente pessoa natural. Este identificador não tem significado para o cliente que deu o consentimento,Texto,100,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/brandName,brandName,"Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes",Texto,80,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/brandID,brandID,"Identifica a Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes",Texto,100,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/informedIcomeFrequency,informedIcomeFrequency,Traz a frequência ou período da renda informada. Vide enum ,Texto,10,Obrigatório,,"DIARIA
SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL",1,1,Aceita nulo,aceita null,Enum
data/informedIncomeAmount,informedIncomeAmount,"Valor total da renda informada. Expresso em valor monetário com 4 casas decimais. ""Renda primária indica os montantes a pagar ou a receber em troca do uso temporário de recursos financeiros, trabalho ou ativos não financeiros não produzidos, a saber, remuneração de trabalhadores, renda de investimentos e demais rendas primárias. Fazem parte da primeira a remuneração do trabalho assalariado (salários e ordenados); da segunda, renda de investimento direto, renda de investimento em carteira, renda de outros investimentos e renda de ativos de reserva; e da terceira, tributos sobre a produção e importação, subsídios e aluguéis"". Fonte: Banco Central do Brasil – Departamento Econômico""",Número,19,Obrigatório,,,1,1,Aceita nulo,aceita null,Double
data/informedIncomeCurrency,informedIncomeCurrency,"Moeda referente ao valor da renda, segundo modelo ISO-4217. p.ex.'BRL' ",Texto,3,Obrigatório,,moeda (ISO-4217),1,1,Não há restrição,,String
data/informedIncomeDate,informedIncomeDate,"Data da renda, conforme especificação RFC-3339. 
p.ex. 2014-03-19",Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,,1,1,Não há restrição,,String
data/informedPatrimonyAmount,informedPatrimonyAmount,"Valor do patrimônio informado. Expresso em valor monetário com 4 casas decimais.
""Patrimônio é o conjunto de bens vinculado a uma pessoa ou a uma entidade"".",Número,19,Obrigatório,,,1,1,Aceita nulo,aceita null,Double
data/informedPatrimonyCurrency,informedPatrimonyCurrency,"Moeda referente ao valor do patrimônio, segundo modelo 
ISO-4217. p.ex.'BRL' ",Texto,3,Obrigatório,,moeda (ISO-4217),1,1,Não há restrição,,String
data/informedPatrimonyYear,informedPatrimonyYear,"Ano de referência do Patrimônio, conforme especificação
RFC-3339. p.ex. 2014",Número,4,Obrigatório,,,1,1,Aceita nulo,aceita null,Number
data/occupationCode,occupationCode,Traz a relação dos códigos relativos à ocupação (vide Enum),Texto,15,Obrigatório,,"RECEITA_FEDERAL
CBO
OUTRO",1,1,Não há restrição,,Enum
data/occupationDescription,occupationDescription,"Campo livre, de preenchimento obrigatório. Traz o código da ocupação que pode ser o CBO ou o da Receita federal, conforme selecionado no atributo occupationCode. Caso não haja um código de ocupação, a mesma deverá ser preenchida trazendo o descritivo da ocupação, se selecionada a opção 'OUTRO'",Texto,100,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
