Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;30;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelas contas de pagamento pós-pagas (cartões de crédito) Ex. 'Empresa da Organização A' ;Texto;80;Mandatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição responsável pelas contas de pagamento pós-pagas (cartões de crédito) para pessoas Físicas - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara;Texto;14;Mandatório;^(\d{14})$;Números de 0 a 9;1;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Opcional;\w*\W*;;0;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/name;name;"Denominação/Identificação do nome da conta de pagamento pós-paga (cartão)
p.ex. 'Cartão Universitário Bem-Vindo'";Texto;50;Mandatório;\w*\W*;;1;N;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/product/type;type;"Categoria atribuída a um cartão de pagamento, sob uma certa denominação, que lhe agrega um conjunto de vantagens, diferenciando-o de acordo com o perfil do portador. p.ex. 'Classic Nacional', 'Classic Internacional'
Essa categoria é definida pelo BACEN e está contida no documento de nome 'Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento Emissores'";Texto;;Mandatório;;"CLASSIC_NACIONAL
CLASSIC_INTERNACIONAL
GOLD
PLATINUM
INFINITE
ELECTRON
STANDARD_NACIONAL
STANDARD_INTERNACIONAL
ELETRONIC
BLACK
REDESHOP
MAESTRO_MASTERCARD_MAESTRO
GREEN
BLUE
BLUEBOX
PROFISSIONAL_LIBERAL
CHEQUE_ELETRONICO
CORPORATIVO
EMPRESARIAL
COMPRAS
OUTROS
";1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/product/additionalInfo;additionalInfo;Informações complementares se tipo de Cartão 'OUTROS';Texto;50;Opcional;\w*\W*;;0;1;"Campo deve ser obrigatoriamente preenchido se selecionado 'OUTROS'
";;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/creditCard/network;network;"Categoria de Bandeiras de Cartões de Crédito.
Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão, inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express"", ""Diners Club""
Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores""";Texto;;Mandatório;;"VISA 
MASTERCARD 
AMERICAN_EXPRESS 
DINERS_CLUB 
HIPERCARD 
BANDEIRA_PROPRIA 
CHEQUE_ELETRONICO 
ELO 
OUTRAS";1;1;NA;;
openBankingBrazil/<brand>/companies/personalCreditCards/identification/creditCard/additionalInfo;additionalInfo;Texto livre para especificar categoria de bandeira marcada como 'Outras';Texto;50;Opcional;\w*\W*;;0;1;Se no campo 'creditCardNetwork' vier selecionado o campo 'Outras' é mandatório que esteja preenchido o 'additonalInfo' com o nome da bandeira;;
openBankingBrazil/<brand>/companies/personalCreditCards/rewardsProgram/hasRewardProgram;hasRewardProgram;"Indicador da existência de programa de fidelidade/recompensa associado à conta de pagamento                     pós-paga (cartão)
 Falso
 Verdadeiro";Booleano;;Mandatório;;"FALSO
VERDADEIRO";1;1;NA;;
