Xpath,Nome,Definição,Tipo do Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json
GET/contracts/{contractId},,Método para obter os dados do contrato de financiamento identificado por contractId mantido pelo cliente na instituição transmissora,,,,,,,,,,
data/,,Conjunto de informações referentes ao contrato e identificação da operação de crédito de financiamento,Objeto,,Obrigatório,,,1,1,Não há restrição,,Objeto
data/IpocCode,IpocCode,"Número padronizado do contrato - IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por, : 
- CNPJ da instituição: 8 (oito) posições iniciais;
- Modalidade da operação: 4 (quatro) posições;
- Tipo do cliente: 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- Código do cliente: O número de posições varia conforme o tipo do cliente:
1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- Código do contrato: 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.",Texto,67,Obrigatório,,,1,1,Não há restrição,,String
data/productName,productName,Denominação/Identificação do nome da Modalidade da Operação de Crédito divulgado ao cliente ,Texto,140,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/productType,productType,"Tipo da modalidade de crédito contratada, conforme circular 4.015 e descrição do DOC3040 do SCR). (Vide Domínio).
Direitos Creditórios Descontados",Texto,10,Obrigatório,,DIREITOS_CREDITORIOS_DESCONTADOS,1,1,Não há restrição,,Enum
data/productSubType,productSubType,"Sub tipo da modalidades de crédito de direitos creditórios descontados contratadas, conforme circular 4.015 e descrição do DOC3040 do SCR). (Vide Domínio).
Desconto de duplicatas, Desconto de cheques, Antecipação da fatura do cartão de crédito, Outros direitos creditórios descontados, Outros títulos descontados",Texto,50,Obrigatório,,"DESCONTO_DUPLICATAS
DESCONTO_CHEQUES
ANTECIPACAO_FATURA_CARTAO_CREDITO
OUTROS_DIREITOS_CREDITORIOS_DESCONTADOS
OUTROS_TITULOS_DESCONTADOS",1,1,Não há restrição,,Enum
data/contractDate,contractDate,"Data de contratação da operação de crédito. Especificação 
RFC-3339",Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String
data/disbursementDate,disbursementDate,Data do Desembolso do valor contratado. Especificação RFC-3339,Data,10,Obrigatório,^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$,especificação RFC-3339,1,1,Não há restrição,,String
data/contractAmount,contractAmount,Valor contratado da operação. Expresso em valor monetário com até 4 casas decimais,Número,19,Obrigatório,,,1,1,Não há restrição,,Double
data/currency,currency,"Moeda referente ao valor monetário informado, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil",Texto,3,Obrigatório,,moeda (ISO-4217),1,1,Não há restrição,,String
