Xpath;Nome;Definição;Natureza;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /personal/qualifications;;Método para obter os registros de qualificação da pessoa natural mantidos na instituição transmissora;;;;;;;;;;
data/;;Conjunto de informações relativas ao processo de qualificação. Considera-se qualificação as informações que permitam as instituições apreciar, avaliar, caracterizar e classificar o cliente com a finalidade de conhecer o seu perfil de risco e sua capacidade econômico-financeira ;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/updateDateTime;updateDateTime;"Data e hora da atualização do bloco de Identificação, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;String
data/companyCnpj;companyCnpj;Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara;Texto;14;Obrigatório;\d{14}|^NA$;;1;1;Não há restrição;;String
data/occupationCode;occupationCode;Traz a relação dos códigos relativos à ocupação (vide Enum);Texto;15;Obrigatório;;"RECEITA_FEDERAL
CBO
OUTRO";1;1;Não há restrição;;Enum
data/occupationDescription;occupationDescription;Campo livre, de preenchimento obrigatório. Traz o código da ocupação que pode ser o CBO ou o da Receita federal, conforme selecionado no atributo occupationCode. Caso não haja um código de ocupação, a mesma deverá ser preenchida trazendo o descritivo da ocupação, se selecionada a opção 'OUTRO';Texto;100;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/informedIncome/;;;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/informedIncome/frequency;frequency;Traz a frequência ou período da renda informada. Vide enum ;Texto;10;Obrigatório;;"DIARIA
SEMANAL
QUINZENAL
MENSAL
BIMESTRAL
TRIMESTRAL
SEMESTRAL
ANUAL
SEM_FREQUENCIA_RENDA_INFORMADA
OUTROS";1;1;Não há restrição;;Enum
data/informedIncome/amount;amount;"Valor total da renda informada. Expresso em valor monetário com 4 casas decimais. ""Renda primária indica os montantes a pagar ou a receber em troca do uso temporário de recursos financeiros, trabalho ou ativos não financeiros não produzidos, a saber, remuneração de trabalhadores, renda de investimentos e demais rendas primárias. Fazem parte da primeira a remuneração do trabalho assalariado (salários e ordenados); da segunda, renda de investimento direto, renda de investimento em carteira, renda de outros investimentos e renda de ativos de reserva; e da terceira, tributos sobre a produção e importação, subsídios e aluguéis"". Fonte: Banco Central do Brasil – Departamento Econômico""";Número;19;Obrigatório;;;1;1;Aceita nulo;aceita null;Double
data/informedIncome/currency;currency;Moeda referente ao valor da renda, segundo modelo ISO-4217.;Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;Não há restrição;;String
data/informedIncome/date;date;Data da renda, conforme especificação RFC-3339.;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$|^NA$;;1;1;Não há restrição;;String
data/informedPatrimony/;;;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/informedPatrimony/amount;amount;"Valor do patrimônio informado. Expresso em valor monetário com 4 casas decimais.
""Patrimônio é o conjunto de bens vinculado a uma pessoa ou a uma entidade"".";Número;19;Obrigatório;;;1;1;Não há restrição;aceita null;Double
data/informedPatrimony/currency;currency;Moeda referente ao valor do patrimônio, segundo modelo ISO-4217.;Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;Não há restrição;;String
data/informedPatrimony/year;year;"Ano de referência do Patrimônio, conforme especificação
RFC-3339. p.ex. 2014";Número;4;Obrigatório;;;1;1;Aceita nulo;aceita null;Number
