Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Natureza;Tipo Dado Json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GET //contracts/{contractId}/warranties;;Método para obter a lista de garantias vinculadas ao contrato de adiantamento a depositantes identificado por contractId mantido pelo cliente na instituição transmissora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/;;Conjunto de informações referentes às garantias que avalizam a  operação de crédito de adiantamento a depositantes;Objeto; ;Obrigatório; ;;1;1;Não há restrição;;Objeto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/contractId;contractId;Um identificador único e imutável usado para identificar o contrato de uma operação de crédito. Este identificador não tem significado para o tomador do crédito;Texto;100;Obrigatório;;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/requestDateTime;requestDateTime;"Data e hora da consulta, conforme especificação RFC-3339, formato UTC. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/currency;currency;"Moeda referente ao valor da garantia, segundo modelo ISO-4217. p.ex. 'BRL' 
Todos os valores monetários informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;;moeda (ISO-4217);1;1;Não há restrição;;String;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/<loans>/warranties/;;"Lista das garantias que avalizam a operação de crédito contratada
";Lista;;Obrigatório;;;1;N;;;Lista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/<loans>/warranties/warrantyType;warrantyType;Denominação/Identificação do tipo da garantia que avaliza a Modalidade da Operação de Crédito contratada  (Doc 3040, Anexo 12);Texto;40;Obrigatório;;"SEM_TIPO_GARANTIA
CESSAO_DIREITOS_CREDITORIOS
CAUCAO
PENHOR
ALIENACAO_FIDUCIARIA
HIPOTECA
OPERACOES_GARANTIDAS_PELO_GOVERNO
OUTRAS_GARANTIAS_NAO_FIDEJUSSORIAS 
SEGUROS_ASSEMELHADOS
GARANTIA_FIDEJUSSORIA
BENS_ARRENDADOS
GARANTIAS_INTERNACIONAIS
OPERACOES_GARANTIDAS_OUTRAS_ENTIDADES
ACORDOS_COMPENSACAO
";1;1;Não há restrição;;Enum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/<loans>/warranties/warrantySubType;warrantySubType;Denominação/Identificação do sub tipo da garantia que avaliza a Modalidade da Operação de Crédito contratada (Doc 3040, Anexo 12);Texto;100;Condicional;;"ACOES_DEBENTURES
APLICACOES_FINANCEIRAS_RENDA_FIXA
APLICACOES_FINANCEIRAS_RENDA_VARIAVEL
APOLICES_CREDITO_EXPORTACAO
CCR_CONVENIO _CREDITOS_RECIPROCOS
CHEQUES
CIVIL
DIREITOS_SOBRE_ALUGUEIS
DEPOSITOS_A_VISTA_A_PRAZO_POUPANCA_OURO_TITULOS_PUBLICOS_FEDERAIS_ART_36
DEPOSITO_TITULOS_EMITIDOS_ENTIDADES_ART_23
DUPLICATAS
EMD_ENTIDADES_MULTILATERAIS_DESENVOLVIMENTO_ART_37
EQUIPAMENTOS FATURA_CARTAO_CREDITO
ESTADUAL_OU_DISTRITAL
FATURA_CARTAO_CREDITO
FEDERAL
FCVS_FUNDO_COMPENSACAO_VARIACOES_SALARIAIS 
FGI_FUNDO_GARANTIDOR_INVESTIMENTOS
FGPC_FUNDO_GARANTIA_PROMOCAO_COMPETIT
FGTS_FUNDO_GARANTIA_TEMPO_SERVICO
FUNDO_GARANTIDOR_AVAL
GARANTIA_PRESTADA_FGPC_LEI_9531_ART_37
GARANTIA_PRESTADA_FUNDOS_QUAISQUER_OUTROS_MECANISMOS_COBERTURA_RISCO_CREDITO_ART_37
GARANTIA_PRESTADA_TESOURO_NACIONAL_OU_BACEN_ART_37_BENS_DIREITOS_INTEGRANTES_PATRIMONIO_AFETACAO
IMOVEIS
IMOVEIS_RESIDENCIAIS
MITIGADORAS
MUNICIPAL
NAO_MITIGADORAS
NOTAS_PROMISSORIAS_OUTROS_DIREITOS_CREDITO
OUTRAS
OUTROS
OUTROS_BENS
OUTROS_GRAUS
OUTROS_IMOVEIS
OUTROS_SEGUROS_ASSEMELHADOS OUTROS_BENS
PESSOA_FISICA
PESSOA_FISICA_EXTERIOR
PESSOA_JURIDICA
PESSOA_JURIDICA_EXTERIOR 
PRIMEIRO_GRAU_BENS_DIREITOS_INTEGRANTES_PATRIMONIO_AFETACAO
PRIMEIRO_GRAU_IMOVEIS_RESIDENCIAIS
PRIMEIRO_GRAU_OUTROS
PRODUTOS_AGROPECUARIOS_COM_WARRANT
PRODUTOS_AGROPECUARIOS_SEM_WARRANT
SBCE_SOCIEDADE_BRASILEIRA_CREDITO_EXPORTAÇÃO
SEGURO_RURAL
TRIBUTOS_RECEITAS_ORCAMENTARIAS
VEICULOS
VEICULOS_AUTOMOTORES
";0;1;Preenchimento obrigatório se tipo de garantia selecionada for diferente de 'SEM_TIPO_GARANTIA';;Enum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data/<loans>/warranties/warrantyAmount;warrantyAmount;Valor original da garantia. Valor monetário, expresso com até 4 casas decimais.;Número;19;Condicional;;;0;1;Preenchimento obrigatório se tipo de garantia selecionada for diferente de 'SEM_TIPO_GARANTIA';Aceita null;Number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
