;invoiceFinancings-payments;;;;;;;;;;;;;;;;;
;; ; ; ; ;releases;;;;chargesOverParcel;;;;taxesOverParcel;;;;
;contractId;requestDateTime;"paid
Instalments";currency;"contract
OutstandingBalance";paymentId;InstalmentId;paidDate;paidAmount;feeName;feeCode;feePaidDate;feeAmount;taxType;taxAdditionalInfo;taxPaidDate;taxAmount;
1;xcjklompowsa279212650822221989319aadrtjk;2020-07-21T08:30:00Z;0;0;0.00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
2;29533208100122953320866597501618419473449;2020-07-21T08:30:00Z;0;0;0.00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
3;agbvfdrtj1002230688095370jjkloipq0678433123;2020-07-21T08:30:00Z;0;0;0.00;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
4;asdfghj8125532706944jkloiu8504713juytr5072;2020-07-21T08:30:00Z;0;0;0.00;;;;;;;;;;;;;
