Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado
Json"
GET /accounts/{creditCardAccountId}/limits;;Método para obter os limites da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
data/;;Conjunto de informações referentes aos limites da conta de pagamento pós-paga;Lista;;Obrigatório;;;1;1;Não há restrição;;Lista
data/creditLineLimitType;creditLineLimitType;"Indicador do tipo de limite: 
- Limite de Crédito Total
- Limite de Crédito por Modalidade de operação
Vide enum";Texto;34;Obrigatório;;"LIMITE_CREDITO_TOTAL
LIMITE_CREDITO_MODALIDADE_OPERACAO";1;1;Não há restrição;;Enum
data/consolidationType;consolidationType;"Indicador que permite informar se o valor do limite é:
consolidado ou individual (vide Enum)";Texto;11;Obrigatório;;"CONSOLIDADO
INDIVIDUAL";1;1;;;Enum
data/identificationNumber;identificationNumber;"Número de identificação do cartão: corresponde aos 4 últimos dígitos para PF; preencher com um identificador para PJ; com as caracteristicas definidas para os ID´s no Open Banking.";Texto;100;Obrigatório;;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$ ";1;1;Não há restrição;;String
data/lineName;lineName;Modalidade de operação - Lista de Modalidades de Operação relacionadas às Contas de Pagamento Pós-Pagas (Vide Enum) ;Texto;28;Condicional;;"CREDITO_A_VISTA
CREDITO_PARCELADO
SAQUE_CREDITO_BRASIL
SAQUE_CREDITO_EXTERIOR
EMPRESTIMO_CARTAO_CONSIGNADO
OUTROS";0;1;"Se aplica somente
se for Limite Modalidade de operação";;Enum
data/lineNameAdditionalInfo;lineNameAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName;Texto;;Condicional;\w*\W*;;0;1;Preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName;;String
data/islimitflexible;limitType;Indicador que permite informar se a operação de crédito é: com limite (false) ou com limite flexível (true).;Booleano;;Obrigatório;;"true
False";1;1;"Se aplica somente
se for Limite Modalidade de operação.
Opção 'SEM_LIMITE' se aplica somente para a Modalidade 'CREDITO_A_VISTA'";;Boolean
data/limitAmountCurrency;currency;"Moeda referente ao limite informado; segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;moeda (ISO-4217);1;1;Preenchimento obrigatório se informado valor da transação;;String
data/limitAmount;limitAmount;Valor total do limite informado Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$ ;;1;1;Não há restrição;Aceita Null;Double
data/usedAmountCurrency;currency;"Moeda referente ao limite informado; segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;moeda (ISO-4217);1;1;Preenchimento obrigatório se informado valor da transação;;String
data/usedAmount;usedAmount;Valor utilizado do limite informado Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$ ;;1;1;Não há restrição;Aceita Null;Double
data/availableAmountCurrency;currency;"Moeda referente ao limite informado; segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;moeda (ISO-4217);1;1;Preenchimento obrigatório se informado valor da transação;;String
data/availableAmount;availableAmount ;Valor disponível do limite informado Expresso em valor monetário com 4 casas decimais;Número;19;Obrigatório;(-?\d{15}(.\d{4}?))$ ;;;;Não há restrição;;





