Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;Objeto que reúne as informações relativas ao relacionamento do cliente junto à Instituição. Considera-se relacionamento as informações que permitam conhecer desde quando a pessoa consultada é cliente da instituição, bem como um indicador dos produtos e serviços que ela consome atualmente e seus representantes;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/updateDateTime;updateDateTime;Data e hora da atualização do bloco de Relacionamento, conforme especificação RFC-3339, formato UTC.;Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/startDate;startDate;Data de início de relacionamento com a Instituição Financeira. Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS.;Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z
/data/productsServicesType;productsServicesType;"";Lista;24;Obrigatório;;"CONTA_DEPOSITO_A_VISTA 
CONTA_POUPANCA 
CONTA_PAGAMENTO_PRE_PAGA 
CARTAO_CREDITO 
OPERACAO_CREDITO 
SEGURO 
PREVIDENCIA 
INVESTIMENTO 
OPERACOES_CAMBIO 
CONTA_SALARIO 
CREDENCIAMENTO 
OUTROS";1;12;"";Não permitido;array;SEGURO
/data/procurators;procurators;Lista dos representantes. De preenchimento obrigatório se houver representante.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/procurators/type;type;"Tipo de representante.
Representante legal - Nome Civil completo da Pessoa Natural que represente uma entidade ou uma empresa e é nomeado em seu ato constitutivo, ou seja, no contrato social ou estatuto social.
Procurador - é qualquer pessoa que represente a Pessoa Natural em algum negócio, mediante autorização escrita do mesmo.";Texto;19;Obrigatório;;"REPRESENTANTE_LEGAL 
PROCURADOR 
NAO_POSSUI";1;1;"";Não permitido;string;PROCURADOR
/data/procurators/cnpjCpfNumber;cnpjCpfNumber;Identificação do Representante Legal ou Procurador. Número do cadastro nas Receita Federal  (Preencher com CPF ou CNPJ sem formatação);Texto;14;Obrigatório;^\d{11}$|^\d{14}$|^NA$;;1;1;"";Não permitido;string;73677831148
/data/procurators/civilName;civilName;Nome civil completo ou Razão Social;Texto;70;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Elza Milena Stefany Teixeira
/data/procurators/socialName;socialName;"Nome social da pessoa natural, se houver. Aquele pelo qual travestis e transexuais se reconhecem, 
bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Local.";Texto;70;Condicional;\w*\W*;;1;1;" Preenchimento obrigatório quando o sócio for uma pessoa natural.
";Não permitido;string;Stefany Teixeirass
/data/accounts;accounts;Lista de contas depósito à vista, poupança e pagamento pré-pagas mantidas pelo cliente na instituição transmissora e para as quais ele tenha fornecido consentimento.;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/accounts/compeCode;compeCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas).O Compe (Sistema de Compensação de Cheques e Outros Papéis) é um sistema que identifica e processa as compensações bancárias. Ele é representado por um código de três dígitos que serve como identificador de bancos, sendo assim, cada instituição bancária possui um número exclusivo;Texto;3;Obrigatório;\d{3}|^NA$;;1;1;"";Não permitido;string;001
/data/accounts/branchCode;branchCode;Código da Agência detentora da conta. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória);Texto;4;Obrigatório;\d{4}|^NA$;;1;1;"";Não permitido;string;6272
/data/accounts/number;number;Número da conta;Texto;20;Obrigatório;^\d{8,20}$|^NA$;;1;1;"";Não permitido;string;24550245
/data/accounts/checkDigit;checkDigit;Dígito da conta;Texto;1;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;4
/data/accounts/type;type;"Tipos de contas. Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas, conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica. Vide Enum
Conta de depósito à vista ou Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: segundo CIRCULAR Nº 3.680, BCB de  2013, é a 'destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados'.
SEM_TIPO_CONTA - para reporte nos dados de identificação quando o cliente não possuir conta na instituição transmissora.";Texto;;Obrigatório;;"CONTA_DEPOSITO_A_VISTA 
CONTA_POUPANCA 
CONTA_PAGAMENTO_PRE_PAGA 
SEM_TIPO_CONTA";1;1;"";Não permitido;string;CONTA_DEPOSITO_A_VISTA
