Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/updateDateTime;updateDateTime;Data e hora da atualização do bloco, conforme especificação RFC-3339;Date Hora;20;Obrigatório;;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z
/data/businessId;businessId;Um identificador único e imutável usado para identificar o recurso cliente pessoa jurídica. Este identificador não tem significado para o cliente que deu o consentimento;Texto;100;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;578-psd-71md6971kjh-2d414
/data/brandName;brandName;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Organização A
/data/companyName;companyName;Razão social da empresa consultada é o termo registrado sob o qual uma pessoa jurídica (PJ) se individualiza e exerce suas atividades. Também pode ser chamada por denominação social ou firma empresarial;Texto;70;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Luiza e Benjamin Assessoria Jurídica Ltda
/data/tradeName;tradeName;Nome fantasia da pessoa jurídica, se houver. (É o nome popular da empresa, utilizado para divulgação da empresa e melhor fixação com o público). De preenchimento obrigatório se houver;Texto;70;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;Mundo da Eletronica
/data/incorporationDate;incorporationDate;Data de constituição da empresa, conforme especificação RFC-3339.;Date Hora;20;Obrigatório;;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z
/data/cnpjNumber;cnpjNumber;Número completo do CNPJ da Empresa consultada  - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara;Texto;14;Obrigatório;\d{14}|^NA$;;1;1;"";Não permitido;string;50685362006773
/data/companyCnpjNumber;companyCnpjNumber;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/otherDocuments;otherDocuments;Relação dos demais documentos;Lista;;Opcional;;;1;N;"";Não permitido;array;
/data/otherDocuments/type;type;Número do Tipo de documento informado. De preenchimento obrigatório, para a Pessoa jurídica com domicílio ou sede no exterior, desobrigada de inscrição no CNPJ;Texto;20;Opcional;\w*\W*;;0;1;"";Não permitido;string;EIN
/data/otherDocuments/number;number;Número do outro documento. De preenchimento obrigatório, para a Pessoa jurídica com domicílio ou sede no exterior, desobrigada de inscrição no CNPJ;Texto;20;Obrigatório;\w*\W*;;1;1;"";Não permitido;string;128328453
/data/otherDocuments/country;country;Pais de emissão do tipo de documento informado. Código do pais de acordo com o código “alpha3” do ISO-3166;Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;CAN
/data/otherDocuments/expirationDate;expirationDate;Data vigência do tipo de  documento informado, conforme especificação RFC-3339.;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$|^NA$;;1;1;"";Não permitido;string;2021-05-21
/data/parties;parties;Lista relativa às informações das partes envolvidas, como: sócio e /ou administrador;Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/parties/personType;personType;Indica se a pessoa da parte envolvida é uma pessoa natural ou juridica;Texto;;Obrigatório;;"PESSOA_NATURAL 
PESSOA_JURIDICA";1;1;"";Não permitido;string;
