Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/creditLineLimitType;creditLineLimitType;Indicador do tipo de limite;Texto;34;Obrigatório;;"LIMITE_CREDITO_TOTAL 
LIMITE_CREDITO_MODALIDADE_OPERACAO";1;1;"";Não permitido;string;LIMITE_CREDITO_TOTAL
/data/consolidationType;consolidationType;Indicador que permite informar se o valor do limite é consolidado ou individual.;Texto;11;Obrigatório;;"CONSOLIDADO 
INDIVIDUAL";1;1;"";Não permitido;string;CONSOLIDADO
/data/identificationNumber;identificationNumber;Número de identificação do cartão: corresponde aos 4 últimos dígitos do cartão para PF, ou então, preencher com um identificador para PJ, com as caracteristicas definidas para os IDs no Open Banking.;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;4453
/data/lineName;lineName;"";Texto;28;Opcional;;"CREDITO_A_VISTA 
CREDITO_PARCELADO 
SAQUE_CREDITO_BRASIL 
SAQUE_CREDITO_EXTERIOR 
EMPRESTIMO_CARTAO_CONSIGNADO 
OUTROS";0;1;"";Não permitido;string;CREDITO_A_VISTA
/data/lineNameAdditionalInfo;lineNameAdditionalInfo;Campo de preenchimento obrigatório se selecionada a opção 'OUTRAS' em lineName.;Texto;;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Informações adicionais e complementares.
/data/isLimitFlexible;isLimitFlexible;Indica se a operação de crédito é: com limite flexível (true) ou com limite (false).;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;true
/data/limitAmountCurrency;limitAmountCurrency;"Moeda referente ao limite informado, segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os limite informados estão representados com a moeda vigente do do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;BRL
/data/limitAmount;limitAmount;Valor total do limite informado Expresso em valor monetário com 4 casas decimais.;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;100000.0001
/data/usedAmountCurrency;usedAmountCurrency;"Moeda referente ao limite informado, segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;BRL
/data/usedAmount;usedAmount;Valor utilizado do limite informado Expresso em valor monetário com 4 casas decimais.;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;7500.05
/data/availableAmountCurrency;availableAmountCurrency;"Moeda referente ao limite informado, segundo modelo ISO-4217. p.ex. 'BRL.'
Todos os saldos informados estão representados com a moeda vigente do Brasil.";Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;BRL
/data/availableAmount;availableAmount;Valor disponível do limite informado Expresso em valor monetário com 4 casas decimais.;Número;20;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Permitido;number;2499.95
