Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;;
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as intuituições da Marca;Lista;;Obrigatório;;;1;N;;;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à Marca, responsável pelos  Canais de Atendimento Eletrônico (titular). p.ex. 'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;NA;;
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição responsável pelo canal eletrônico - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Texto;14;Obrigatório;^(\d{14})$|^NA$;Números de 0 a 9;1;1;NA;;
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"Se aplicável informar: URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços.
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'

";Texto;1024;Condicional;\w*\W*;;0;1;Informar se aplicável;;
openBankingBrazil/<brand>/companies/eletronicChannels/;;Lista de Canais de Atendimento Eletrônico;Lista;;Obrigatóriio;;;1;N;;;
openBankingBrazil/<brand>/companies/eletronicChannels/Identification/type;type;"Tipo de canal de atendimento eletrônico:
'Internet banking'
'Mobile banking' 
'Chat'                         
'Outros' . p.ex. 'SIC'";Texto;;Obrigatório;;"INTERNET_BANKING 
MOBILE_BANKING
CHAT
OUTROS
";1;1;"O Tipo de Canal determina o Tipo de Acesso a ele relacionado: 
URL para acesso ao internet banking
URL para aquisição do app 
URL do chat 
";;
openBankingBrazil/<brand>/companies/eletronicChannels/Identification/additionalInfo;additionalInfo;Campo de texto livre para descrever complementação de informações necessárias. De preenchimento obrigatório para  o tipo de canal de atendimento 'OUTROS';Texto;300;Condicional;\w*\W*;;1;1;Preenchimento obrigatório para o o tipo de canal de atendimento'OUTROS';;
openBankingBrazil/<brand>/companies/eletronicChannels/Identification/urls;;Lista das URLs que atendem um tipo de canal eletrônico selecionado;Lista;;;;;1;N;;;
openBankingBrazil/<brand>/companies/eletronicChannels/Identification/urls;urls;"Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. p.ex. 'https://example.com/mobile-banking'
1.URL para acesso ao internet banking
2.URL para aquisição do app
3.URL para chat
4.Outros

";Texto;1024;Obrigatório;\w*\W*;;0;N;NA;;
