Xpath;Nome ;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições
openBankingBrazil/<brand>/name;name;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/;;Companies traz uma lista de todas as instituições da Marca;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/name;name;Nome da Instituição, pertencente à marca, responsável pela modalidade de Direitos Creditórios Descontados para Pessoa Natural. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/cnpjNumber;cnpjNumber;"Número completo do CNPJ da instituição. O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara
";Texto;14;Obrigatório;\d{14}|^NA$;Números de 0 a 9;1;1;NA
openBankingBrazil/<brand>/companies/urlComplementaryList;urlComplementaryList;"URL de link para lista complementar com os nomes e CNPJs agrupados para o caso instituições ofertantes de produtos e serviços com as mesmas características. URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. 
Endereço eletrônico de acesso ao canal. URLs são limitadas a 2048 caracteres mas, para o contexto do Sistema Financeiro aberto, será adotado a metade deste tamanho. Ex. 'https://example.com/mobile-banking'

";Texto;1024;Condicional;\w*\W*;;0;1;Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/;;Lista de Modalidades de Direitos Creditórios Descontados ofertados;Lista;;;;;1;5;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/type;type;"Modalidades de Direitos Creditórios Descontados ofertados, conforme Circular 4015-Bacen. Direito creditório descontado é a antecipação de créditos relativos por ex. ao: desconto de duplicatas, desconto de cheques, antecipação de fatura de cartão de crédito
desconto de duplicatas: operações de crédito para adiantamento de recursos com base em fluxo de caixa futuro vinculado a duplicatas mercantis
desconto de cheques: operações de crédito para adiantamento de recursos com base em fluxo de caixa futuro vinculado a cheques custodiados
antecipação de fatura de cartão de crédito: operações de crédito para adiantamento de recursos  com base em fluxo de caixa futuro vinculado a direitos creditórios sob a forma de faturas de cartão de crédito
outros direitos creditórios descontados: operação  de crédito que permite antecipar o valor da venda a prazo dos produtos ou serviços mediante desconto de nota promissória
outros títulos descontados: demais títulos descontados, regulamentação própria ";Texto;;Obrigatório;;"DESCONTO_DUPLICATAS
DESCONTO_CHEQUES
ANTECIPACAO_FATURA_CARTAO_CREDITO
OUTROS_DIREITOS_CREDITORIOS_DESCONTADOS
OUTROS_TITULOS_DESCONTADOS





";1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/;;Objeto que reúne informações de tarifas de serviços;Objeto;;;;Objeto que agrupa;;;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/;;Lista das Tarifas cobradas sobre Serviços;Lista;;;;;1;N;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/name;name;Nomes das Tarifas cobradas sobre Serviços ofertados à Modalidade de Financiamentos, para pessoa Natural. (Campo Livre). p.ex.  'Avaliação de Garantia Hipotecária, Avaliação de Propriedade Rural e Parecer Técnico para Prorrogação de Operações Rurais';Texto;250;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/code;code;Sigla de identificação do serviço relacionado à Modalidade de Financiamentos informada, para pessoa natural.(Campo Livre). ;Texto;100;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/chargingTriggerInfo;chargingTriggerInfo;Fatos geradores de cobrança que incidem sobre as Modalidades de Financiamentos informada, para pessoa natural.(Campo Livre) ;Texto;2000;Obrigatório;\w*\W*;;1;1;NA
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/prices/;;Lista distribuição preços tarifas de serviços;Lista;;;;;4;4;
openBankingBrazil/<brand>/companies/personalInvoiceFinancings/fees/services/prices/interval;interval;Segundo Normativa nº 32, BCB, de 2020: Distribuição de frequência relativa dos valores de tarifas cobradas dos clientes, de que trata o § 2º do art. 3º da Circular nº 4.015, de 2020, deve dar-se com base em quatro faixas de igual tamanho, com explicitação dos valores sobre a mediana em cada uma dessas faixas. Informando: 1ª faixa,  2ª faixa, 3ª faixa e 4ª faixa;Texto;;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA
4_FAIXA ";1;1;NA
