;invoiceFinancings - warranties;;;;;
;;;;warranties;;
;contractId;requestDateTime;currency;warrantyType;warrantySubType;warrantyAmount
1;xcjklompowsa279212650822221989319aadrtjk;2020-07-21T08:30:00Z;BRL;CESSAO_DIREITOS_CREDITORIOS;NOTAS_PROMISSORIAS_OUTROS_DIREITOS_CREDITO;200.00
;;;;;;
2;29533208100122953320866597501618419473449;2020-07-21T08:30:00Z;BRL;CAUCAO;DUPLICATAS;2000.00
;;;;;;
3;agbvfdrtj1002230688095370jjkloipq0678433123;2020-07-21T08:30:00Z;BRL;CAUCAO;FATURA_CARTAO_CREDITO;200.00
;;;;;;
4;asdfghj8125532706944jkloiu8504713juytr5072;2020-07-21T08:30:00Z;BRL;CESSAO_DIREITOS_CREDITORIOS;APLICACOES_FINANCEIRAS_RENDA_FIXA;2000.00
