;unarrangedAccountsOverdraft - ScheduleInstalments;;;;;;;
;;requestDateTime;contractRemainingDayss;dueInstalments;pastDueInstalments;currency;balloonPayments;
;;;;;; ;;
;contractId;;;;;currency;dueDate;amount
1;xcjklompowsa279212650822221989319aadrtjk;2020-01-05T08:30:00Z';0;0;0;BRL;2020-01-10';0.00'
 ;;;;;;;;
2;"jjkliopq02664083361678636810967zthjkl987609
";2020-02-13T08:30:00Z';0;0;0;BRL;2020-0-15';0.00'
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
