Xpath;Nome;Definição;Tipo do Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo Dado Json
GET /accounts/{creditCardAccountId};;Método para obter os dados de identificação da conta de pagamento pós-paga identificada por creditCardAccountId mantida pelo cliente na instituição transmissora;;;;;;;;;;
data/;;Conjunto de informações de conta de pagamento pós-paga;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/name;name;"Denominação/Identificação do nome da conta de pagamento pós-paga (cartão). Conforme CIRCULAR Nº 3.680;BCB; 2013: 'conta de pagamento pós-paga: destinada à execução de transações de pagamento que independem do aporte prévio de recursos' p.ex. 'Cartão Universitário Bem-Vindo'";Texto;50;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/productType;productType;"Categoria atribuída a um cartão de pagamento; sob uma certa denominação; que lhe agrega um conjunto de vantagens; diferenciando-o de acordo com o perfil do portador. p.ex. 'Classic Nacional'; 'Classic Internacional'
Essa categoria é definida pelo BACEN e está contida no documento de nome 'Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento Emissores'";Texto;26;Obrigatório;;"CLASSIC_NACIONAL
CLASSIC_INTERNACIONAL
GOLD
PLATINUM
INFINITE
ELECTRON
STANDARD_NACIONAL
STANDARD_INTERNACIONAL
ELETRONIC
BLACK
REDESHOP
MAESTRO_MASTERCARD_MAESTRO
GREEN
BLUE
BLUEBOX
PROFISSIONAL_LIBERAL
CHEQUE_ELETRONICO
CORPORATIVO
EMPRESARIAL
COMPRAS
BASICO_NACIONAL
BASICO_INTERNACIONAL
NANQUIM
GRAFITE
MAIS
OUTROS";1;1;Não há restrição;;Enum
data/productAdditionalInfo;productAdditionalInfo;Informações complementares se tipo de Cartão 'OUTROS';Texto;50;Condicional;\w*\W*;;0;1;"Campo deve ser 
obrigatoriamente preenchido se selecionado 'OUTROS'";;String
data/creditCardNetwork;creditCardNetwork;"Categoria de Bandeiras de Cartões de Crédito (Instituidor do arranjo de pagamento).
Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão; inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express""; ""Diners Club""
Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento Emissores""";Texto;17;Obrigatório;;"VISA
MASTERCARD 
AMERICAN_EXPRESS 
DINERS_CLUB 
HIPERCARD 
BANDEIRA_PROPRIA 
CHEQUE_ELETRONICO 
ELO 
OUTRAS";1;1;Não há restrição;;Enum
data/networkAdditionalInfo;networkAdditionalInfo;Texto livre para especificar categoria de bandeira marcada como 'OUTRAS';Texto;50;Condicional;\w*\W*;;0;1;"Se no campo 
'creditCardNetwork' vier selecionado o campo 'OUTRAS' é mandatório que esteja preenchido o 'additonalInfo' com o nome da bandeira";;String
data/paymentMethod/;;Conjunto de informações relativas aos Meios de Pagamento da Conta de pagamento pós-paga;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/paymentMethod/identificationNumber;identificationNumber;"Número de identificação do cartão: corresponde aos 4 últimos dígitos para PF; preencher com um identificador para PJ; com as caracteristicas definidas para os ID´s no Open Banking.";Texto;100;Obrigatório;"^[a-zA-Z0-9][a-zA-Z0-9\-]{0;99}$ ";;1;1;Não há restrição;;String
data/paymentMethod/isMultipleCreditCard ;isMultipleCreditCard ;"Indica se o Cartão de crédito associado à conta pagamento pós-paga é múltiplo ou não. Cartões denominados múltiplos possuem tanto a função crédito quanto a função débito; devendo o proprietário do cartão; no momento de sua utilização; informar se o pagamento é na função crédito (que leva a um pagamento futuro; por meio de uma fatura do cartão de crédito) ou na função débito.";Texto;;Obrigatório;;"false
true";0;1;Não há restrição;;Boolean
