Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo
/data;data;"";Lista;;Obrigatório;;;1;N;"";Não permitido;array;
/data/updateDateTime;updateDateTime;"";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z
/data/personalId;personalId;Um identificador único e imutável usado para identificar o recurso cliente pessoa natural. Este identificador não tem significado para o cliente que deu o consentimento;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;578-psd-71md6971kjh-2d414
/data/brandName;brandName;Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Organização A
/data/civilName;civilName;Nome civil completo da pessoa natural (Direito fundamental da pessoa, o nome civil é aquele atribuído à pessoa natural desde o registro de seu nascimento, com o qual será identificada por toda a sua vida, bem como após a sua morte);Texto;70;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Juan Kaique Cláudio Fernandes
/data/socialName;socialName;Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Local);Texto;70;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Jaqueline de Freitas
/data/birthDate;birthDate;Data de nascimento, conforme especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21
/data/maritalStatusCode;maritalStatusCode;Estado marital do cliente.;Texto;;Obrigatório;;"SOLTEIRO 
CASADO 
VIUVO 
SEPARADO_JUDICIALMENTE 
DIVORCIADO 
UNIAO_ESTAVEL 
OUTRO";1;1;"";Não permitido;string;SOLTEIRO
/data/maritalStatusAdditionalInfo;maritalStatusAdditionalInfo;Campo livre para complementar a informação relativa ao estado marital, quando selecionada a opção 'OUTROS';Texto;50;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Casado
/data/sex;sex;"Conjunto de características anatomofisiológicas que distinguem o homem e a mulher: Sexo masculino; sexo feminino. 
No caso de não ser feminino nem masculino é classificado como 'OUTRO'";Texto;;Obrigatório;;"FEMININO 
MASCULINO 
OUTRO 
NAO_DISPONIVEL";1;1;"";Não permitido;string;FEMININO
/data/companyCnpj;companyCnpj;"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara";Lista;14;Obrigatório;\d{14}|^NA$;;1;N;"";Não permitido;array;
/data/documents;documents;Objeto agrupador de informações relativas a Documentos da pessoa natural;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;
/data/documents/cpfNumber;cpfNumber;Número completo do CPF. Atributo que corresponde às informações mínimas exigidas pela Regulamentação em vigor. O CPF é o Cadastro de Pessoa natural.  Ele é um documento feito pela Receita Federal e serve para identificar os contribuintes. O CPF é uma numeração com 11 dígitos, que só mudam por decisão judicial. O documento é emitido pela receita federal;Texto;11;Obrigatório;^\d{11}$|^NA$;;1;1;"";Não permitido;string;25872252137
/data/documents/passportNumber;passportNumber;"Número do Passaporte. Documento concedido aos viajantes por uma autoridade
administrativa nacional a fim de certificar sua identidade perante autoridades
estrangeiras. De preenchimento obrigatório. Aplicável somente à Pessoa natural
residente no exterior desobrigada de inscrição no CPF.";Texto;20;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;75253468744594820620
/data/documents/passportCountry;passportCountry;Pais de emissão do passaporte. Código do pais de acordo com o código 'alpha3' do ISO-3166.;Texto;3;Obrigatório;^(\w{3}){1}$|^NA$;;1;1;"";Não permitido;string;CAN
