Xpath,Nome,Definição,Tipo do Dado,Tamanho,Mandatoriedade,Formato,Domínio,Mínimo de Ocorrências,Máximo de Ocorrências,Restrições,Nulidade,Tipo Dado Json,
GET/contracts/,,Método para obter a lista de contratos de financiamento mantidos pelo cliente na instituição transmissora e para os quais ele tenha fornecido consentimento,,,,,,,,,,,
data/,,Conjunto de informações  de contratos de financiamento mantidos pelo cliente na instituição transmissora e para os quais ele tenha fornecido consentimento,Lista,,Obrigatório,,,1,N,Não há restrição,,Lista,
data/brandID,brandID,"Identifica a Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes",Texto,100,Obrigatório,\w*\W*,,1,1,Não há restrição,,String,
data/brandName,brandName,Nome da Marca reportada pelo participante do Open Banking. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes,Texto,80,Obrigatório,\w*\W*,,1,1,Não há restrição,,String
data/companyCnpj,companyCnpj,"Número completo do CNPJ da instituição responsável pelo Cadastro - o CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. 
Deve-se ter apenas os números do CNPJ, sem máscara",Texto,14,Obrigatório,\d{14}|^NA$,,1,1,Não há restrição,,String,
data/productType,productType,"Tipo da modalidade de crédito contratada, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Domínio).
Financiamentos, Financiamentos rurais  e Financiamentos imobiliários  ",Texto,10,Obrigatório,,"FINANCIAMENTOS
FINANCIAMENTOS_RURAIS
FINANCIAMENTOS_IMOBILIARIOS

",1,1,Não há restrição,,String,
data/productSubType,productSubType,"Sub tipo da modalidades de crédito Financiamentos contratadas, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Domínio).
Aquisição de bens veículos automotores, Aquisição de bens de outros bens, Microcrédito, Custeio, Investimento, Industrialização, Comercialização, Financiamento habitacional SFH e Financiamento habitacional exceto SFH",Texto,50,Obrigatório,,"AQUISICAO_BENS_VEICULOS_AUTOMOTORES
AQUISICAO_BENS_OUTROS_BENS
MICROCREDITO
CUSTEIO
INVESTIMENTO
INDUSTRIALIZACAO
COMERCIALIZACAO
FINANCIAMENTO_HABITACIONAL_SFH
FINANCIAMENTO_HABITACIONAL_EXCETO_SFH
",1,1,Não há restrição,,Enum,
data/IpocCode,IpocCode,"Número padronizado do contrato -  IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por, : 
- CNPJ da instituição: 8 (oito) posições iniciais;
- Modalidade da operação: 4 (quatro) posições;
- Tipo do cliente: 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- Código do cliente: O número de posições varia conforme o tipo do cliente:
1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- Código do contrato: 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.",Texto,67,Obrigatório,,,1,1,Não há restrição,,String,
data/contractId,contractId,Um identificador único e imutável usado para identificar o contrato de uma operação de crédito. Este identificador não tem significado para o tomador do crédito,Texto,100,Obrigatório,,,1,1,Não há restrição,,String,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,++++,,,,,,,,,
